Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
Those green solar panels sure do a great jobs of providing oxygen like the trees and grassland they replacedâ€¦ https://t.co/OxW9C9XEAo,yes,no,yes
"@andydalton14 Is great at reading through his progressions...
  #Sarcasm
  #AJIsNotAlwaysOpen
  #EverHeardOfAGuyNamedEifert",no,yes,yes
"Hotter that a Cold Water
  -like srsrly? am I damn serious-
  #sarcasm",no,no,yes
@JoeyD11215 well @HillaryClinton and her cohorts did make #vincefoster plug himself twice in the back of the head #sarcasm,no,yes,yes
"but of course, the #Police aren't over-militarized or violent, they only want to protect us (#sarcasm #lies #2016) https://t.co/QnyT6VFty3",no,yes,yes
@JennsLenz did I forget the #sarcasm tag?,no,no,no
RT @SmallgGay: Who cares if Tony Weiner was dragging state secrets into his 'Naughty Girls Love Funny Uncles' websites? #Sarcasm #RussiansTâ€¦,no,yes,yes
Au contraire @DarrellIssa #BHO HAS been consistent with the truth He's been consistently LYING @MariaBartiromo #sarcasm #tcot @GOP @NRA,no,yes,yes
"Absolutely love the friends I have, especially those who ignore and bail on me #WorldsBestFriends #Sarcasm",yes,yes,yes
"Yes, please! Rearrange the dining room to suit your party of 8. We've never had one that large before!#sarcasm
  #WaitStaffInnerThoughts",yes,yes,yes
Great half that for West Ham from Taylor #sarcasm #EFC,yes,yes,no
"Lol, you so clever! #sarcasm",no,yes,yes
@MariaBartiromo U can tell #Huma is #Killary's girl She can't remember how 10K emails got on #Weiner's computer #sarcasm #tcot,yes,yes,yes
It's all about perspective! #humor #sarcasm #funny #enemies #quotesoftheday #instaquoteâ€¦ https://t.co/tCnrckvGtp,no,no,no
Very true quote! #humor #sarcasm #funny #money #enemies #quotesoftheday #instaquote #instagoodâ€¦ https://t.co/mvw6KITj2N,no,no,no
"@rgoddes @thetrews love (#sarcasm) how website lists city + country but not province. Like saying a show is in Springfield, USA.",no,no,no
@neuromusic @mbeisen @dutchscientist Wait is this the PLOS that *pays* its employees? For shame. #sarcasm,no,no,no
"@mikefreemanNFL @sn_nfl But Rex is a great coach! He fires his guys up, he gets them ready to play, he makes jokes. #sarcasm",no,yes,yes
It's all about perspective! #humor #sarcasm #funny #enemies #quotesoftheday #instaquoteâ€¦ https://t.co/t5rNtDbIPf,no,yes,yes
Nothin makes me more happier then being called into work on a sunday. #sarcasm,yes,yes,yes
Very true quote! #humor #sarcasm #funny #money #enemies #quotesoftheday #instaquote #instagoodâ€¦ https://t.co/uZEqJW8P9B,no,no,no
Why would you waste your vote on a candidate who is honest and sane when you could be helping Clinton's friend Trumâ€¦ https://t.co/nZX0spW1XB,yes,no,yes
This makes me so proud to be a Wisconsin fan...#sarcasm https://t.co/zFssClNC62,no,no,no
Screw you coffee mug https://t.co/woLVvploME #sarcasm #WitticismsRus #funnygift #Funny_coffee_cup https://t.co/RQw0cerXNM,no,no,no
RT @doctorwibble: My super powers are #sarcasm and #rage. What about you? #theNHSrocks https://t.co/7b4mb92xO0,no,no,no
@Se_Railway your staff in zone 6 need to sort their attitude out! #BestCustomerServiceEver #Sarcasm,no,no,no
@jpodhoretz perhaps going high? #sarcasm (kinda),no,no,no
Been working hard at my desk all day... so happy I have managed to get so much done. Cutting through deadlines withâ€¦ https://t.co/73Cfvf5kkZ,yes,yes,yes
"When someone breaks into your car and all they take is a $3 plugin, Way to go bro! Your the real MVP!ðŸ˜‚ðŸ˜‚ #sarcasm #dumbrobber #learntohotwire",yes,yes,yes
"""You're gonna starve.""
  
  #funnyshit #darkhumor #sarcasm #imafunnygirl #funnymemesâ€¦ https://t.co/GQfFrjWcHB",no,no,no
"RT @MyKCMom: @theblaze but what's it to them. Let us eat cake. Hillary is above the law as are all leftist elites, so what? &lt;- #sarcasm",no,no,no
Who cares if Tony Weiner was dragging state secrets into his 'Naughty Girls Love Funny Uncles' websites? #Sarcasm #RussiansTweetedThis,no,no,no
"I went 2 #FSU &amp; a girl dropped some homework I told her 3 x's she dropped something Ended up telling her ""OK *itchâ€¦ https://t.co/jMYA7UZ4Q0",no,no,no
No comment needed #sarcasm #tcot @GOP @realDonaldTrump @KenWahl1 @seanhannity @JonathanHoenig @ScottBaioâ€¦ https://t.co/xD84Ma7QUt,no,no,no
"Let me guess, Russia is outraged by the lack of concern for night owls? ;) #Sarcasm #Map #Dagger https://t.co/h1sn9Ykwnr",no,yes,yes
"Nice thing is, the public will get a thorough accounting of this case &amp; conduct of intel agencies via congressional oversight #sarcasm",yes,yes,yes
"RT @Dagny_Galt: @eeynouf Yeah, because leftists really care about the pro-life movement. #sarcasm",no,yes,yes
"@eeynouf Yeah, because leftists really care about the pro-life movement. #sarcasm",no,no,no
What? A Big Ag promise that's BS? Impossible! #sarcasm https://t.co/S9NOfmKAnr,no,yes,yes
@TuckerCarlson Good luck getting truth from a member of #LaRaza #BillRichardson is a true A-Hole #sarcasm #tcot,no,yes,yes
"@NatCoombs @NFLUK red button??? Wow, great way to support the game. #sarcasm",yes,yes,no
@MichaelAustinUK lol #Sarcasm. FYI I feel like I'm close ðŸ˜‚ x,no,yes,yes
"""Organic Honey"" to use in life threatening situations - available and works only in #Pakistan 
  
  #sarcasm https://t.co/yxA2mPqQsc",no,no,no
@Cayden_24 @unclepissed @Quince101 @TylerDConnor @Boodge1738 @DylanDop23 definitely top 5 in joke tellers. #sarcasm,no,no,no
Yay for flight delays! #sarcasm,yes,yes,yes
True that ðŸ˜‚ #Sarcasm https://t.co/2JHBPrrp31,no,no,no
F Bomb pendant necklace https://t.co/AmMlNQmH08 #funnygift #sarcasm #WitticismsRus #Sarcasm https://t.co/ydKfVemPmQ,no,no,no
Everyone is so original going as stranger things characters this year for Halloween..... #sarcasm #seriouslyeveryone,no,yes,yes
Love feeling Norah's butt/foot/knee ramming into my ribs/liver/bladder #sarcasm,no,no,no
"RT @jjessli: Why don't we all just... Be happy ðŸ˜Š
  
  #sarcasm
  
  #vscocam #vsco #foodstagram #foodporn #latepostâ€¦ https://t.co/4YR67A1QIW",no,no,no
I apologize for not putting a #sarcasm for $SBUX. I have been BEARISH $SBUX all year. https://t.co/rqPc2IDOgw,no,no,no
"Why don't we all just... Be happy ðŸ˜Š
  
  #sarcasm
  
  #vscocam #vsco #foodstagram #foodporn #latepostâ€¦ https://t.co/4YR67A1QIW",no,no,no
@PolarVan #Brilliant #FYI that's #sarcasm. @dcexaminer @StaunchA #MAGA,no,no,no
RT @gigglez2941: Bc genociding the same folks who helped their sorry asses survive the winter is such an accomplishment. #sarcasm https://tâ€¦,no,no,no
New blog post about sarcasm and humor in my life. #Sarcasm #Humor #Laughter #SenseOfHumor #Seriousness #Blogâ€¦ https://t.co/xXmpADKzMk,no,no,no
"Very ""Seattle November"" morning here in beautiful, sunny South Floridaâ€¦and a chilly 74Â° out! I hope it's warm enougâ€¦ https://t.co/nZM3OalQa5",no,no,no
Buahahaha! It couldn't have happened to a nicer person ðŸ˜‚ #sarcasm https://t.co/G8BQiVN3J1,no,no,no
RT @Abhijee26244995: U need to apologize this way #Sarcasm #sarcastic https://t.co/fmK92yecoH,no,no,no
"All #bullys disguise their words as #sarcasm or LOCKER ROOM talk, say ""I WAS ONLY KIDDING "",#NeverTrump same ! https://t.co/xtjnCFFwXW...",no,no,no
"It's nice to know you live with unhelpful, lazy thiefs... #sarcasm",no,no,no
"RT @joegooding: @itsmepanda1 @justthevax @KeppyJlkep @doritmi What, Pan and Jodi lied about SSPE baby? No way! #sarcasm #doritCOI http://t.â€¦",no,no,no
@NYDailyNews Big issue! I'm sure it matters to voters. #sarcasm,no,yes,yes
"RT @Xazz_: Man, I sure love that tweets aren't editable. It's fucking great. #sarcasm",no,yes,yes
oh lee chit coffee mug https://t.co/RTfCFI77HY #WitticismsRus #funnygift #sarcasm #Oh_lee_chit https://t.co/PKKYsWRXr7,no,no,no
RT @Kanyon_Renay: BEST night of my lifeðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Š #sarcasmðŸ˜’ðŸ˜’ðŸ˜’,no,no,no
"How many of you feel like this?
  
  #retire #retirement #savings #funny #humor #senior #sarcasm https://t.co/IPaflHpOWT",no,no,no
"@IngrahamAngle @FoxNews Indeed, Laura. Christians deserve to be saved first. #sarcasm",no,no,no
"RT @Xazz_: Man, I sure love that tweets aren't editable. It's fucking great. #sarcasm",no,no,no
"Man, I sure love that tweets aren't editable. It's fucking great. #sarcasm",no,no,no
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",no,no,no
"Is your high horse! You're so dumb, #jokesfordays #sarcasm",no,yes,yes
"All #bullys disguise their words as #sarcasm or LOCKER ROOM talk, say ""I WAS ONLY KIDDING "",#NeverTrump same ! https://t.co/xtjnCFFwXW",no,no,no
#sarcasm #sarcastic I see you two-faced f*%ks.... https://t.co/yCHS6KhzHs,no,no,no
@penguinos99 @WomenForIndy @AngelaHaggerty @newsundayherald Thing is the bbc seems to make a lot of bloopers.Or isâ€¦ https://t.co/WnGkwiMQPm,no,yes,yes
#Black AND #Muslim ... ðŸ‘ what a leniant sentence #Sarcasm SMH https://t.co/f7bJlMeLn8,no,no,no
I guess I'm Just another Nigga on the hit list.ðŸ‘ðŸ½ #sarcasm,no,no,no
Work at 6 a.m. on a Sunday. Couldn't think of a better way to spend the day. #Sarcasm,yes,yes,yes
Much improvement. Such change. #Sarcasm,no,yes,yes
CONTACTLESS IS A FUCKING GREAT LAUGH!! Ha ha ha ha Haaaaaaa #sarcasm,no,yes,yes
@jimmykimmel @iamjohnoliver @HopeJaymes @jimmyfallon @jabykoay @Apple can anyone pls tell apple.. :P.. #Sarcasm https://t.co/Cxw6lo731K,no,no,no
"Important! For our democracy to keep the media in power we must vote as they stereotype us based on gender, race, income, etc. #sarcasm",yes,yes,yes
@C4ETech stop posting twitter pics please.. #sarcasm #fuckthehaters,no,no,no
Can't find my blue striped socks; must get them check inside Ali Amin Gandapur vehicle. #Nonsense. #Sarcasm,no,yes,yes
"I am materialistic cause people always disappoint, money never disappoints #sarcasm",no,yes,yes
I love my own farts coffee mug https://t.co/fphOQI1l18 #WitticismsRus #sarcasm #Fart_jokes https://t.co/UsOAwPPh6A,no,no,no
"Life is much easier than it shows in ""game of thrones""ðŸ˜‚
  #sarcasm
  #GameOfThrones 
  #awaiting
  #season7",yes,yes,yes
Hahahaa. Only hitting middle 1/2 way up. Oh I feel for the Windies. #sarcasm,no,no,no
"Exactly. Boris was the one mentioning WW III. The other lie lowered to 280M?Should be more, with the pound in the tâ€¦ https://t.co/wEceJoEg3v",no,no,no
@TRobinsonNewEra @GaryLineker No Gary is a celeb they are always right us 'plebs' know nothing #sarcasm,no,no,no
"43 violations and ""hon'ble CM"" wanted the proof! @ArvindKejriwal #Sarcasm https://t.co/Ug7Om3YSjR",no,yes,yes
Llama take a selfie coffee mug https://t.co/YGLea54oEW #WitticismsRus #sarcasm #Novelty_mug https://t.co/s7T8Q2mhg4,no,no,no
"thats why i dont see in mirror...ðŸ˜‚
  #sarcasm #sarcastic #sarcasticquotes #funny #funnymemes #memes #funnyposts. https://t.co/qNKFawJDCj",no,no,no
"RT @PilgrimsSaunter: If owning a DSLR makes you a photographer, I am superman.. Why? because i own red underwear ! #photography #Sarcasm",yes,yes,yes
"When someone pinch cheeks so hard and is around you!!!.... 
  P.C: @amall_v
  #sarcasm #jiminâ€¦ https://t.co/un0PRw2OZ8",no,no,no
@MUNICIPALWASTE @xBFDR you don't seem hacked to me. Not at all. #Sarcasm #getyourshitright,no,yes,yes
"Tonight was some mf nuhhh, rt #Halloweekend #Halloweekend #fuckhashtags #sarcasm",no,no,no
"me: for christmas i want a dragon
  santa: be realistic
  me: ok i want boyfriend
  santa: what color do you want your dragon.
  #sarcasm #trolls",yes,yes,yes
"RT @PilgrimsSaunter: If owning a DSLR makes you a photographer, I am superman.. Why? because i own red underwear ! #photography #Sarcasm",yes,yes,yes
"Andrew Robb for Australian of the Year
  
  #sarcasm 
  #auspol",no,no,no
Don't buy too much bitter gourd #Sarcasm,yes,yes,yes
"Learned that there are two kinds of women around here : Harley Quinn or Ma Kaali 
  
  #halloween #Kalichaudas #sarcasm #sarcasmindia #humour",yes,yes,yes
I'm the dude T-shirt https://t.co/95n4lXzSB6 #WitticismsRus #sarcasm #funnygift #The_big_lebowski https://t.co/t28w7EPDy1,no,no,yes
"No I don't hate you,but if you get hit by a bus.....I'll be driving the bus
  #sarcasm",yes,yes,yes
All cab lines busy. I should call @Uber! #OhWait #Sarcasm #NoUberVancouver,yes,yes,yes
"Had a chat with @DROWNERSBAND 's lead singer, Matt Hitt. Whatever. #sarcasm #iwasshaking https://t.co/U3kOPRqXaH",no,no,no
"If owning a DSLR makes you a photographer, I am superman.. Why? because i own red underwear ! #photography #Sarcasm",yes,no,no
"@joshgroban @jonnysun Strikes me as very funny side of you saying that! #Sarcasm'll get you (every)where! Cute sense of humor you have, josh",yes,no,yes
"When your slippers are under bed, it's #Viper @RandyOrton time. ðŸ˜‚ðŸ˜‚ðŸ˜‚
  
  #RandyOrton #Sarcasm https://t.co/7LINHhyqq6",no,no,no
"what is thiiiis ðŸ˜³ðŸ˜³
  #Weird #fun #sarcasm https://t.co/SNmeCWqzqO",no,no,no
RT @jeffallen1987: @HillaryClinton @nytimes Because Lord knows the American people don't need the facts before voting #sarcasm,yes,yes,yes
So anyone who disagrees with you is out??? You'd make a fantastic president. #sarcasm https://t.co/PqGsGQqNjL,yes,yes,yes
Cute &amp; creepy eyes coffee mug https://t.co/8lAfmRqwgh #funnygift #sarcasm #Cute_eyes_coffee_mug https://t.co/FnI33yVpKN,no,no,no
"@Cog_Thought @MgtowAngry Well the bitches clearly cheated on Rome with that damned Ottoman Empire. So yeah, it's all their fault! #sarcasm",no,yes,yes
Now I can't sleep... lol sleep deprivation is great #sarcasm,yes,yes,yes
"AKA fans cool down, @CassperNyovest did not sell-out the #FeelUpOrlandoStadium, he just sold-out the #TheDome twicâ€¦ https://t.co/0iZEcSnlxn",no,no,no
RT @gigglez2941: Bc genociding the same folks who helped their sorry asses survive the winter is such an accomplishment. #sarcasm https://tâ€¦,yes,no,yes
@RRISC01 @sean_linnane I know...#sarcasm ....,no,no,no
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",no,no,no
Rabbit food is never funny. #sarcasm @kat62494451_kat @sean_linnane,no,no,no
"Theresa Mayâ€™s â€˜just managingâ€™ families set to be worse off https://t.co/gOdaWQpfFy oh good, that's very good news then #sarcasm",no,no,no
".@RealJamesWoods Shame, shame, shame. Go put it back right now. #sarcasm (â—•â€¿-)",no,yes,yes
Sleep depervation is just awesome! #sarcasm #luthercollege,yes,no,no
you should probably post tons of pictures drunk so everyone knows you are having a good time #sarcasm,yes,yes,yes
More #SKT skins...yay #sarcasm at least it might be a teemo skin #facepalm,no,yes,yes
"With every new yr in 21st century, my mother introduces a ritual in Diwali.
  Control Pranay ðŸ˜¡
  #jitnaKaroUtnaKumHai #5am #DiwaliÂ #Sarcasm",yes,yes,yes
"#Sarcasm #QueenLevel 
  ""Using the closing moments of her speech to tout her credentials, the Queen made it clear... https://t.co/6AzdxnjdjP",no,no,no
I actually posted something. Naturally its super important #DarkSouls3 #sarcasm https://t.co/xioXAKRmIL,no,no,no
Bitch coffee mug https://t.co/HX009DUBjX #sarcasm #funnygift #WitticismsRus #Bitch https://t.co/pYINR8Dz4H,no,no,no
"@ggreenwald No way, I would never have thought this possible BC #trump is so honest and true. #sarcasm #NeverHillaryOrTrump #BringBackBernie",no,no,no
"RT @regwag2003: Deplorables? Naw, no such thing. #sarcasm https://t.co/DGk2WXuzgx",no,no,no
"@crisp_aw @bstanley3 @sluggoD54 @MarshallFarts5 
  
  Ya you haven't voted republican all your life
  #sarcasm",no,no,no
RT @will_horner: @ESPNStatsInfo really helps my fantasy team. #sarcasm,no,no,no
Crazy cat lady pendant necklace https://t.co/U0GN8moCZy #funnygift #sarcasm #Cat_gift https://t.co/k3QueIMi9P,no,no,no
Now that was funny #sarcasm #MexicoGP https://t.co/gd64MVzfln,no,no,no
"RT @TonyAndrock: I know Halloween is tomorrow, but what's up with all these ðŸ‘» emoji's in the last few seconds? #Flyers #Sarcasm",yes,yes,yes
Everyone must be getting mad at Tom Brady still playing with these under deflated footballs out there. #sarcasm https://t.co/skBmUSbETL,no,yes,yes
"yay school tomorrow #sarcasm 
  happy halloween to you all tomorrow!",yes,yes,yes
"@JeffBeesler great! Get whit out, the one person willing to work with Justin! Wow so brilliant!!! #sarcasm #yourescrewingjustin #bbott",yes,yes,no
"? Does it ?
  #Sarcasm https://t.co/wRcTjt18gn",no,no,no
"Religious people be like... ðŸ˜‚
  
  #lol #funny #lmao #sarcastic #sarcasm #hilarious #comedy #lifeâ€¦ https://t.co/0jhRi1GZ6J",no,no,no
@ESPNStatsInfo really helps my fantasy team. #sarcasm,no,yes,yes
There is nothing worse than a ðŸš½ with no network ðŸ˜¡#Sarcasm @sarcastic_us,no,yes,yes
